Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
120621756,08/24/2012,0045,06,Hollywood,0678,20,F,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MARATHON,WESTERN
120627186,11/08/2012,0450,06,Hollywood,0678,26,M,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,SIERRA VISTA,WESTERN                      AV
120627728,11/14/2012,0500,06,Hollywood,0657,32,M,H,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,SIERRA VISTA,WESTERN                      AV
122020103,11/14/2012,2250,20,Olympic,2063,18,F,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,WASHINGTON                   BL,WESTERN
130604559,01/07/2013,0635,06,Hollywood,0657,29,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,LEMON GROVE,WESTERN
130604570,01/07/2013,0655,06,Hollywood,0657,43,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,LEMON GROVE,WESTERN
130605104,01/16/2013,0440,06,Hollywood,0648,40,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,SUNSET                       BL,WESTERN                      BL
132005155,01/25/2013,2140,20,Olympic,2042,24,F,B,13,Prostitution/Allied,M,653.22PC,LOITERING FOR PURPOSES OF PROSTITUTION,JAMES M WOOD,WESTERN
132005157,01/25/2013,2200,20,Olympic,2073,27,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
132005991,02/13/2013,2225,20,Olympic,2011,62,M,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,1ST                          ST,WESTERN                      AV
132005993,02/13/2013,2200,20,Olympic,2011,52,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,1ST                          ST,WESTERN                      AV
132011585,06/08/2013,0005,20,Olympic,2011,38,M,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,1ST                          ST,WESTERN                      AV
132011586,06/07/2013,2300,20,Olympic,2011,48,M,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,1ST                          ST,WESTERN                      AV
142015781,09/04/2014,1230,20,Olympic,2073,30,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CAMBRIDGE,WESTERN
142016829,09/25/2014,0120,20,Olympic,2071,20,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN
142019413,11/12/2014,2330,20,Olympic,2073,21,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CAMBRIDGE,WESTERN
152004654,01/13/2015,0500,20,Olympic,2081,18,F,B,13,Prostitution/Allied,M,653.22PC,LOITERING FOR PURPOSES OF PROSTITUTION,18TH                         ST,WESTERN                      AV
152005479,01/29/2015,2220,20,Olympic,2073,20,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
152005884,02/06/2015,0046,20,Olympic,2081,43,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH,WESTERN
152006469,02/13/2015,2140,20,Olympic,2021,24,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,15TH,WESTERN
152008032,03/24/2015,0510,20,Olympic,2023,20,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,15TH,WESTERN
152019606,11/24/2015,0440,20,Olympic,2081,20,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH                         ST,WESTERN                      AV
162005202,01/21/2016,2320,20,Olympic,2062,19,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,11TH                         ST,WESTERN                      AV
162005204,01/20/2016,2110,20,Olympic,2062,19,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,11TH                         ST,WESTERN                      AV
162005760,02/04/2016,2145,20,Olympic,2071,38,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162005761,02/05/2016,1255,20,Olympic,2071,40,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162005764,02/05/2016,1220,20,Olympic,2071,19,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162005765,02/04/2016,1135,20,Olympic,2071,21,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162005766,02/04/2016,2230,20,Olympic,2071,23,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162005767,02/05/2016,1235,20,Olympic,2071,28,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162009508,03/29/2016,0500,20,Olympic,2091,25,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,20TH                         ST,WESTERN                      AV
162009509,03/29/2016,1705,20,Olympic,2091,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,20TH,WESTERN                      AV
162009510,03/30/2016,1750,20,Olympic,2063,20,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,12TH                         PL,WESTERN                      AV
162011479,05/28/2016,0230,20,Olympic,2063,19,F,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,12TH                         ST,WESTERN
162012236,06/17/2016,0215,20,Olympic,2062,28,F,B,13,Prostitution/Allied,M,653.22PC,LOITERING FOR PURPOSES OF PROSTITUTION,COUNTRY CLUB                 DR,WESTERN                      AV
162013325,07/09/2016,0045,20,Olympic,2071,39,M,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN
162013326,07/09/2016,0145,20,Olympic,2071,51,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162013327,07/09/2016,0050,20,Olympic,2071,22,M,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN
162013329,07/09/2016,0010,20,Olympic,2071,30,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162013333,07/09/2016,0110,20,Olympic,2071,23,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN
162013334,07/09/2016,2350,20,Olympic,2071,30,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
162013336,07/09/2016,0140,20,Olympic,2071,48,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN                      AV
